,County,Precinct,Bennet.First Expression,Bennet.Final Expression,Bennet.SDE,Biden.First Expression,Biden.Final Expression,Biden.SDE,Bloomberg.First Expression,Bloomberg.Final Expression,Bloomberg.SDE,Buttigieg.First Expression,Buttigieg.Final Expression,Buttigieg.SDE,Delaney.First Expression,Delaney.Final Expression,Delaney.SDE,Gabbard.First Expression,Gabbard.Final Expression,Gabbard.SDE,Klobuchar.First Expression,Klobuchar.Final Expression,Klobuchar.SDE,Patrick.First Expression,Patrick.Final Expression,Patrick.SDE,Sanders.First Expression,Sanders.Final Expression,Sanders.SDE,Steyer.First Expression,Steyer.Final Expression,Steyer.SDE,Warren.First Expression,Warren.Final Expression,Warren.SDE,Yang.First Expression,Yang.Final Expression,Yang.SDE,Other.First Expression,Other.Final Expression,Other.SDE,Uncommitted.First Expression,Uncommitted.Final Expression,Uncommitted.SDE
73,Black Hawk,WL 2-3,0,0,0,11,0,0,0,0,0,17,25,0.6060,0,0,0,0,0,0,5,0,0,0,0,0,29,34,0.8080,2,0,0,16,20,0.4040,9,0,0,0,0,0,1,0,0
74,Black Hawk,CF W5 P3,0,0,0,29,38,0.6060,0,0,0,39,52,0.6060,0,0,0,1,0,0,14,0,0,0,0,0,31,35,0.4040,7,0,0,33,39,0.6060,12,0,0,0,0,0,0,0,0
75,Black Hawk,WL 1-4,0,0,0,23,25,0.4040,0,0,0,35,39,0.6060,0,0,0,0,0,0,0,0,0,0,0,0,30,35,0.4040,7,0,0,20,23,0.4040,10,0,0,0,0,0,0,3,0
76,Black Hawk,CF W2 P1,0,0,0,0,0,0,0,0,0,20,23,0.2020,0,0,0,0,0,0,5,0,0,0,0,0,37,39,0.4040,0,0,0,18,19,0.2020,8,0,0,0,0,0,0,7,0
77,Black Hawk,Big Creek La Porte,1,0,0,19,19,0.4040,0,0,0,20,20,0.6060,0,0,0,0,0,0,11,11,0,0,0,0,16,16,0.4040,12,12,0,12,12,0,9,9,0,0,0,0,0,0,0
78,Black Hawk,Poyner P2 Fox Gilbert Jesup,0,0,0,13,14,0.4040,0,0,0,18,21,0.6060,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0.4040,1,0,0,7,0,0,7,0,0,0,0,0,0,0,0
79,Black Hawk,WL 3-3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0.4040,7,10,0.4040,10,11,0.4040,7,8,0.2020,0,0,0,3,0,0
80,Black Hawk,Cedar Orange,0,0,0,13,16,0.4040,3,0,0,14,14,0.2020,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0.4040,3,0,0,17,19,0.4040,2,0,0,0,0,0,0,2,0
81,Black Hawk,CF W3 P1,0,0,0,32,33,0.4040,0,0,0,54,63,0.6060,0,0,0,0,0,0,51,61,0.6060,0,0,0,37,51,0.4040,0,0,0,23,0,0,9,0,0,0,0,0,0,0,0
82,Black Hawk,WL 3-2,0,0,0,31,31,0.6060,0,0,0,19,19,0.4040,0,0,0,0,0,0,2,0,0,0,0,0,22,22,0.4040,0,0,0,16,16,0.4040,0,0,0,0,0,0,0,0,0
83,Black Hawk,WL 5-5,0,0,0,32,32,0.4040,0,0,0,48,49,0.4040,0,0,0,1,0,0,49,52,0.6060,0,0,0,33,35,0.4040,9,0,0,27,31,0.2020,0,0,0,0,0,0,1,1,0
84,Black Hawk,CF W5 P1,0,0,0,39,42,0.4040,0,0,0,51,57,0.6060,0,0,0,0,0,0,49,55,0.6060,0,0,0,43,45,0.4040,9,0,0,53,57,0.6060,14,0,0,0,0,0,0,0,0
85,Black Hawk,Black Hawk Hudson Lincoln,0,0,0,36,37,0.6060,0,0,0,34,37,0.6060,0,0,0,0,0,0,28,34,0.4040,0,0,0,17,23,0.4040,4,0,0,17,0,0,8,0,0,0,0,0,0,0,0
86,Black Hawk,WL 2-1,0,0,0,10,10,0.2020,0,0,0,13,19,0.4040,0,0,0,0,0,0,8,0,0,0,0,0,18,19,0.4040,0,0,0,11,11,0.2020,0,0,0,0,0,0,0,1,0
87,Black Hawk,WL 4-1,0,0,0,36,37,1.0100,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,13,0.4040,0,0,0,12,15,0.6060,8,0,0,0,0,0,0,0,0
88,Black Hawk,WL 3-1,0,0,0,19,20,0.4040,0,0,0,14,21,0.4040,0,0,0,0,0,0,2,0,0,0,0,0,23,24,0.4040,6,0,0,17,21,0.4040,5,0,0,0,0,0,0,0,0
89,Black Hawk,WL 2-6,0,0,0,25,26,0.2020,0,0,0,30,31,0.4040,0,0,0,0,0,0,31,36,0.4040,0,0,0,26,28,0.4040,5,0,0,26,28,0.4040,9,0,0,0,0,0,0,0,0
90,Black Hawk,WL 4-6,0,0,0,5,5,0.2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.4040,3,6,0.2020,8,9,0.2020,2,0,0,0,0,0,1,0,0
91,Black Hawk,Elk Run Heights & Raymond,0,0,0,6,0,0,0,0,0,11,13,0.4040,0,0,0,0,0,0,12,19,0.4040,0,0,0,16,16,0.4040,6,0,0,11,11,0.2020,0,0,0,0,0,0,0,0,0
92,Black Hawk,WL 4-2,0,0,0,19,20,0.6060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0.4040,0,0,0,11,17,0.4040,0,0,0,0,0,0,0,0,0
93,Black Hawk,WL 1-5,0,0,0,15,16,0.4040,0,0,0,10,14,0.2020,0,0,0,0,0,0,11,14,0.2020,0,0,0,24,25,0.4040,7,0,0,19,20,0.4040,4,0,0,0,0,0,0,0,0
94,Black Hawk,WL 5-1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,6,0.2020,0,0,0,11,11,0.2020,2,0,0,7,7,0.2020,3,5,0.2020,0,0,0,0,0,0
95,Black Hawk,WL 4-3,0,0,0,10,11,0.4040,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0.2020,1,0,0,5,6,0.2020,7,7,0.2020,0,0,0,0,0,0
96,Black Hawk,Evansdale W4,0,0,0,6,7,0.2020,0,0,0,13,15,0.2020,0,0,0,0,0,0,1,0,0,0,0,0,6,6,0.2020,0,0,0,4,7,0.2020,4,0,0,0,0,0,1,0,0
97,Black Hawk,Evansdale W2,0,0,0,2,0,0,0,0,0,10,11,0.4040,0,0,0,0,0,0,1,0,0,0,0,0,7,10,0.2020,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
98,Black Hawk,Barclay Lester Dunkerton,0,0,0,11,18,0.2020,0,0,0,15,18,0.4040,0,0,0,2,0,0,4,0,0,0,0,0,10,13,0.2020,9,10,0.2020,6,0,0,0,0,0,0,0,0,2,0,0
